"Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","NA's","which","timestep"
9.9999504977947e-06,1.95406395809276,4.21870591737901,12.7448699710296,9.72429271812347,2776.92067657639,30,"x",6
9.99996283419294e-06,1.61605334706923,3.46016168740641,8.57346025469094,8.44314121899968,1072.05270593552,35,"y",6
